Key,"ru","en","ka"
nav.gatherings,"Сборы","Events","შეკრებები"
nav.club_info,О клубе,Club info,
nav.profile,Профиль,Profile,
nav.collection,Коллекция,Collection,
nav.club_settings,Настройки клуба,Club settings,
filters,Фильтры,Filters,
title,Название,Title,
player_number,Кол-во игроков,Players number,
to_search,Найти,Find,
schedules_list,Список расписаний,Schedules list,
to_admin_view,К виду для админов,To admin view,
gatherings.login_to_join,"Залогиньтесь через телеграм справа-сверху, чтобы присоединяться к сборам",Login (top-right) to join gatherings,
gatherings.registration_is_free,Регистрация бесплатна,Registration is free,
gatherings.use_button_to_create_gathering,Можете сами начать собирать людей кнопкой '+' снизу-справа,Use button in bottom-right to start gathering people,
gatherings.gatherings_not_found,Не найдено сборов в клубе,No current gatherings found,
gathering.create_gathering,Создать сбор,Create a gathering,
landing.welcome,Превращаем желание поиграть в настольные игры в реальность,,
landing.players_title,Для настольщиков,,
landing.players_where_text,Настольные клубы и boardgame-friendly кафе отмечаются на карте и готовы вас принять по всему миру,,
landing.players_who_text,Укажи свои интересы и найди игроков в твои любимые игры,,
landing.players_when_text,Кинь ссылку друзьям и пусть приложение само определит оптимальное время из ваших расписаний,,
landing.clubs_title,Для настольных клубов,,
landing.clubs_collection,Управляйте своей коллекцией игр онлайн,,
landing.clubs_gatherings,Создавайте мероприятия и контролируйте посещаемость,,
landing.clubs_statistics,Анализируйте статистику посещений и популярность игр,,
landing.clubs_bot,Чтобы подключиться - пиши tirvy в телеграме,,
landing.players_where_title,Где поиграть,,
landing.welcome_players,Помогаем игрокам,,
landing.welcome_clubs,И настольным клубам,,
landing.players_who_title,С кем поиграть,,
landing.players_when_title,Когда поиграть,,
